timestamp,frame_number,ball_x,ball_y,ball_detected,player_1_x,player_1_y,player_1_detected,player_2_x,player_2_y,player_2_detected,player_3_x,player_3_y,player_3_detected,player_4_x,player_4_y,player_4_detected
2024-01-01 00:00:00.000000,0,,,False,552.5601501464844,841.0994567871094,True,1063.23486328125,255.10108947753906,True,1519.8848266601562,136.6167869567871,True,1645.5982055664062,333.4922180175781,True
2024-01-01 00:00:00.033330,1,903.8377990722656,626.7539978027344,True,557.0856170654297,840.7025756835938,True,1067.0365600585938,256.02989959716797,True,1519.8319702148438,136.6512680053711,True,1645.4514770507812,333.04278564453125,True
2024-01-01 00:00:00.066660,2,884.7910766601562,648.7124633789062,True,565.4037933349609,840.2748718261719,True,1065.1690673828125,257.17261505126953,True,1519.7756958007812,136.70563125610352,True,1645.340576171875,332.99383544921875,True
2024-01-01 00:00:00.099990,3,870.8759460449219,658.0734252929688,True,576.8204193115234,838.563720703125,True,1065.1619873046875,258.3014678955078,True,1519.78076171875,136.69492721557617,True,1645.3499145507812,333.6384735107422,True
2024-01-01 00:00:00.133320,4,,,False,586.1676330566406,837.7472534179688,True,1066.5338745117188,257.8337707519531,True,1519.7899169921875,136.63129806518555,True,1645.4066162109375,333.7193298339844,True
2024-01-01 00:00:00.166650,5,,,False,597.3952178955078,835.6782836914062,True,1069.7308349609375,256.9642868041992,True,1519.801025390625,136.6332778930664,True,1645.4658813476562,333.64825439453125,True
2024-01-01 00:00:00.199980,6,830.166015625,695.2445678710938,True,615.1584777832031,834.0780639648438,True,1069.2569580078125,255.94223022460938,True,1519.7906494140625,136.62749862670898,True,1645.4107666015625,333.6985626220703,True
2024-01-01 00:00:00.233310,7,822.5815124511719,705.0232238769531,True,628.6149597167969,832.8764038085938,True,1069.396240234375,255.07101440429688,True,1519.7797241210938,136.62497329711914,True,1645.4405517578125,333.71165466308594,True
2024-01-01 00:00:00.266640,8,806.1184997558594,728.2139282226562,True,649.2605590820312,831.2738647460938,True,1069.7440185546875,255.4038543701172,True,1519.8284301757812,136.5239028930664,True,1645.5108642578125,333.7900085449219,True
2024-01-01 00:00:00.299970,9,,,False,663.7943725585938,829.8047790527344,True,1070.9591674804688,259.05406951904297,True,1519.7657470703125,136.53397369384766,True,1645.4841918945312,334.0067596435547,True
2024-01-01 00:00:00.333300,10,778.4598083496094,769.5899047851562,True,671.0256652832031,828.8278198242188,True,1072.5874633789062,260.5427932739258,True,1519.6717529296875,136.50680541992188,True,1645.5903930664062,333.68544006347656,True
2024-01-01 00:00:00.366630,11,786.8362426757812,727.8616027832031,True,674.8396911621094,828.0968322753906,True,1073.5903930664062,261.24359130859375,True,1519.6339111328125,136.3969497680664,True,1645.7005004882812,333.5228729248047,True
2024-01-01 00:00:00.399960,12,,,False,679.7292785644531,827.0585632324219,True,1074.1005249023438,261.6822204589844,True,1519.615478515625,136.347412109375,True,1645.626708984375,333.4194793701172,True
2024-01-01 00:00:00.433290,13,804.333984375,657.6289367675781,True,685.1078796386719,825.8695068359375,True,1074.60009765625,261.40599060058594,True,1519.65673828125,136.35840225219727,True,1645.6424560546875,333.3838195800781,True
2024-01-01 00:00:00.466620,14,811.8593444824219,617.3883666992188,True,697.8598327636719,824.2909545898438,True,1074.8244018554688,260.80055236816406,True,1519.690673828125,136.30589294433594,True,1645.6736450195312,333.3941650390625,True
2024-01-01 00:00:00.499950,15,823.6868591308594,578.7002258300781,True,711.2141723632812,819.9766845703125,True,1075.1880493164062,259.8922424316406,True,1519.6739501953125,136.33907318115234,True,1645.7333984375,333.4595489501953,True
2024-01-01 00:00:00.533280,16,827.3936157226562,561.4892578125,True,719.8451232910156,818.6776123046875,True,1075.6212158203125,259.3671188354492,True,1519.6893310546875,136.36699676513672,True,1645.7598266601562,333.3278045654297,True
2024-01-01 00:00:00.566610,17,834.4795532226562,530.4321899414062,True,732.6590576171875,817.9818420410156,True,1076.0830078125,257.8169479370117,True,1519.7069091796875,136.38973999023438,True,1645.6010131835938,333.3127136230469,True
2024-01-01 00:00:00.599940,18,,,False,748.9967346191406,819.4532470703125,True,1076.1400756835938,256.40101623535156,True,1519.7489624023438,136.40057373046875,True,1645.5087890625,333.43768310546875,True
2024-01-01 00:00:00.633270,19,,,False,759.6495361328125,819.072021484375,True,1076.0657958984375,255.2177734375,True,1519.8096923828125,136.4149513244629,True,1645.5184936523438,333.4326934814453,True
2024-01-01 00:00:00.666600,20,,,False,771.8782043457031,818.2589111328125,True,1077.2889404296875,254.96326446533203,True,1519.8027954101562,136.4270477294922,True,1645.4786987304688,333.4556121826172,True
2024-01-01 00:00:00.699930,21,,,False,782.3839721679688,817.1099853515625,True,1078.2452392578125,255.32522583007812,True,1519.802490234375,136.52100372314453,True,1645.3862915039062,333.4080047607422,True
2024-01-01 00:00:00.733260,22,,,False,788.9106140136719,816.6136474609375,True,1078.8778076171875,255.58734893798828,True,1519.7765502929688,136.53496170043945,True,1645.3536376953125,333.3003845214844,True
2024-01-01 00:00:00.766590,23,871.4512939453125,408.4639892578125,True,798.7127990722656,814.4713745117188,True,1077.6278686523438,255.11488342285156,True,1519.7532348632812,136.5373649597168,True,1645.3182373046875,333.2352752685547,True
2024-01-01 00:00:00.799920,24,,,False,810.697265625,813.9898986816406,True,1075.2907104492188,254.4705581665039,True,1519.7615356445312,136.5277214050293,True,1645.386962890625,333.3002624511719,True
