timestamp,frame_number,x1,y1,x2,y2,center_x,center_y,court_relative_x,court_relative_y,court_position_x_meters,court_position_y_meters,prev_x,prev_y,distance_pixels,distance_meters,speed_ms,speed_kmh,estimated_height_meters,distance_to_net_meters,court_region
2024-01-01 00:00:00.033330,1,895.4452514648438,618.047607421875,912.2303466796875,635.4603881835938,903.8377990722656,626.7539978027344,0.6724983624049595,0.8290396796332465,7.377307035582406,19.697982788085938,,,,,,,1.158079359266493,7.817982788085937,near_court
2024-01-01 00:00:00.066660,2,873.9142456054688,638.284423828125,895.6679077148438,659.1405029296875,884.7910766601562,648.7124633789062,0.6583266939435687,0.8580852690197173,7.221843832560949,20.388105991908482,903.8377990722656,626.7539978027344,29.06805540630255,0.2372593510469784,7.117780531409352,25.624009913073667,1.2161705380394345,8.508105991908481,near_court
2024-01-01 00:00:00.099990,3,860.0900268554688,645.889404296875,881.661865234375,670.2574462890625,870.8759460449219,658.0734252929688,0.6479731741405669,0.8704674937737682,7.108265720322019,20.682307652064733,884.7910766601562,648.7124633789062,16.77076229619756,0.13688635594441015,4.106590678332305,14.783726441996297,1.2409349875475364,8.802307652064732,near_court
2024-01-01 00:00:00.199980,6,822.558349609375,687.126953125,837.773681640625,703.3621826171875,830.166015625,695.2445678710938,0.6176830473400298,0.919635671787161,6.775983029320127,21.850543561662946,870.8759460449219,658.0734252929688,55.12705574722976,0.4499581856749334,13.498745570248001,48.59548405289281,1.339271343574322,9.970543561662945,behind_near_baseline
2024-01-01 00:00:00.233310,7,812.8359985351562,693.7373657226562,832.3270263671875,716.30908203125,822.5815124511719,705.0232238769531,0.6120398158118838,0.9325704019536417,6.714076779456366,22.15787275041853,830.166015625,695.2445678710938,12.375249560099325,0.10100929142432262,3.0302787427296787,10.909003473826843,1.3651408039072834,10.27787275041853,behind_near_baseline
2024-01-01 00:00:00.266640,8,797.4115600585938,717.6558837890625,814.825439453125,738.77197265625,806.1184997558594,728.2139282226562,0.5997905504135859,0.9632459368024554,6.579702338037038,22.886723458426342,822.5815124511719,705.0232238769531,28.44010469488174,0.23213389025509873,6.964016707652962,25.070460147550662,1.4264918736049108,11.006723458426341,behind_near_baseline
2024-01-01 00:00:00.333300,10,768.9204711914062,759.4070434570312,787.9991455078125,779.7727661132812,778.4598083496094,769.5899047851562,0.5792111669267926,1.01797606453063,6.353946501186916,24.18711129324777,806.1184997558594,728.2139282226562,49.76921384557643,0.4062263957484922,12.186791872454766,43.87245074083716,1.5359521290612599,12.30711129324777,behind_near_baseline
2024-01-01 00:00:00.366630,11,776.865966796875,717.3300170898438,796.8065185546875,738.3931884765625,786.8362426757812,727.8616027832031,0.5854436329432896,0.9627798978613797,6.422316653387887,22.875650373186385,778.4598083496094,769.5899047851562,42.56073119657222,0.34738930150773606,10.421679045232082,37.5180445628355,1.4255597957227595,10.995650373186384,behind_near_baseline
2024-01-01 00:00:00.433290,13,794.0425415039062,645.8488159179688,814.6254272460938,669.4090576171875,804.333984375,657.6289367675781,0.5984627859933036,0.86987954598886,6.565136762346541,20.668338012695315,786.8362426757812,727.8616027832031,72.37954365865335,0.5907764835829071,17.723294507487214,63.80386022695397,1.23975909197772,8.788338012695315,near_court
2024-01-01 00:00:00.466620,14,802.1651000976562,607.8372802734375,821.5535888671875,626.939453125,811.8593444824219,617.3883666992188,0.6040620122637067,0.8166512787026703,6.626560274532863,19.403634381975447,804.333984375,657.6289367675781,40.93817929723936,0.33414570453178255,10.024371135953476,36.08773608943252,1.1333025574053406,7.523634381975446,near_court
2024-01-01 00:00:00.499950,15,815.6656494140625,570.2180786132812,831.7080688476562,587.182373046875,823.6868591308594,578.7002258300781,0.6128622463771275,0.7654764891932251,6.723098842757089,18.18772138323103,811.8593444824219,617.3883666992188,40.45568373751051,0.33020747812536483,9.906224343760945,35.6624076375394,1.0309529783864502,6.307721383231028,near_court
2024-01-01 00:00:00.533280,16,817.920654296875,550.3412475585938,836.8665771484375,572.6372680664062,827.3936157226562,561.4892578125,0.615620249793643,0.7427106584821429,6.753354140236264,17.646805245535717,823.6868591308594,578.7002258300781,17.605608894125947,0.14370054283375122,4.311016285012537,15.519658626045132,0.9854213169642858,5.766805245535716,near_court
2024-01-01 00:00:00.566610,17,826.039306640625,523.3566284179688,842.9197998046875,537.5077514648438,834.4795532226562,530.4321899414062,0.6208925247192383,0.701629880874876,6.811190996170044,16.670725969587053,827.3936157226562,561.4892578125,31.855171872140794,0.2600083597004349,7.800250791013047,28.08090284764697,0.903259761749752,4.7907259695870525,near_court
2024-01-01 00:00:00.766590,23,864.4266357421875,401.8250427246094,878.4759521484375,415.1029357910156,871.4512939453125,408.4639892578125,0.6484012603759766,0.5402962820870536,7.112961826324463,12.837439662388395,834.4795532226562,530.4321899414062,127.44862333527466,1.040261456836282,31.20784370508846,112.34823733831846,0.5805925641741072,0.9574396623883938,net_area
2024-01-01 00:00:00.833250,25,871.6708374023438,379.7630310058594,882.8516235351562,392.2004699707031,877.26123046875,385.98175048828125,0.652724129813058,0.5105578710162451,7.160383704049247,12.130855015345983,871.4512939453125,408.4639892578125,23.22081873010913,0.18953302192656038,5.685990657796811,20.46956636806852,0.5211157420324901,0.25085501534598187,net_area
2024-01-01 00:00:00.966570,29,889.1182250976562,332.68560791015625,903.0888061523438,347.915283203125,896.103515625,340.3004455566406,0.6667436872209821,0.4501328644929109,7.314178248814174,10.695156860351563,877.26123046875,385.98175048828125,49.414707630086944,0.40333284427236143,12.099985328170844,43.55994718141504,1.5997342710141782,1.1848431396484376,net_area
